id,code,name,address,state,zone
1,"","",,,?
2,AA,Ataria,"Sitapur National Highway 24, Uttar Pradesh","Uttar Pradesh",NER
3,AAG,Angar,"Solapur, Maharashtra",Maharashtra,CR
4,AAH,Itehar,"State Highway 19, Madhya Pradesh","Madhya Pradesh",NCR
5,AAL,Amlai,"Anuppur, Madhya Pradesh","Madhya Pradesh",SECR
6,AAM,Angadippuram,"Angadipuram, Kerala",Kerala,SR
7,AAP,Ambiapur,"Jhinjhak, Uttar Pradesh","Uttar Pradesh",NCR
8,AAR,Adesar,"Dist. Kachchh, Gujarat",Gujarat,WR
9,AAS,Asranada,"State Highway 58, Rajasthan",Rajasthan,NWR
10,AAV,Ambav,"Ambav, Gujarat",Gujarat,WR
11,AAY,Aralvaymozhi,"Dist. Kanniyakumari, Tamil Nadu","Tamil Nadu",SR
12,AB,Ambur,"Ambur, Tamil Nadu","Tamil Nadu",SR
13,ABB,Abada,"Dist. Birbhum, West Bengal","West Bengal",SER
14,ABD,"Ambli Road","Ahmedabad, Gujarat",Gujarat,WR
15,ABE,Ambikeshwar,"State Highway 2, Madhya Pradesh","Madhya Pradesh",NCR
16,ABEO,Pattaravakkam,,,SR
17,ABFC,"Ambari Falakata","Ambari, West Bengal","West Bengal",NFR
18,ABGT,"Arbagatta Halt","State Highway 47, Karnataka",Karnataka,SWR
19,ABH,Ambarnath,"Ambarnath, Maharashtra",Maharashtra,CR
20,ABI,Ambaturai,"Dindigul, Tamil Nadu","Tamil Nadu",SR
21,ABKA,"Ambika Kalna","Kalna, West Bengal","West Bengal",ER
22,ABKP,Ambikapur,"Surguja, Chhattisgarh",Chhattisgarh,SECR
23,ABLE,Ambale,"Malshiras Rd, Maharashtra",Maharashtra,CR
24,ABO,"Asthal Bohar","Rohtak, Haryana",Haryana,NR
25,ABP,Akbarpur,"Akbarpur, Uttar Pradesh","Uttar Pradesh",NR
26,ABR,"Abu Road","Sirohi Dist, Rajasthan",Rajasthan,NWR
27,ABS,Abohar,"Abohar, Punjab",Punjab,NR
28,ABSA,Ambassa,"Ambassa, Tripura",Tripura,NFR
29,ABU,Ambattur,"Ambatturavadi, Tamil Nadu","Tamil Nadu",SR
30,ABW,"Abutara Halt","Dinhata, West Bengal","West Bengal",NFR
31,ABX,Ambari,"Kinwat, Maharashtra",Maharashtra,SCR
32,ABY,Ambivli,"Ambivli, Maharashtra",Maharashtra,CR
33,ABZ,"Adgaon Buzurg","Akola, Maharashtra",Maharashtra,SCR
34,ACG,Achegaon,"Varangaon, Maharashtra",Maharashtra,CR
35,ACH,Achalganj,"Bithar, Uttar Pradesh","Uttar Pradesh",NR
36,ACK,Acharapakkam,"Dist. Kanchipuram, Tamil Nadu","Tamil Nadu",SR
37,ACL,Ancheli,"Navsari, Gujarat",Gujarat,WR
38,ACLE,"Azimganj City","Police Station Rd, West Bengal","West Bengal",ER
39,ACND,"Acharya Narendra Dev Nagar","Faizabad, Uttar Pradesh","Uttar Pradesh",NR
40,AD,Adoni,"Dist. Kurnool, Andhra Pradesh","Andhra Pradesh",SCR
41,ADB,Adilabad,"Adilabad, Andhra Pradesh","Andhra Pradesh",SCR
42,ADD,"Adas Road","National Highway 8, Gujarat",Gujarat,WR
43,ADE,"Adari Road","kadukada to railway fatak, Gujarat",Gujarat,WR
44,ADF,Adina,"National Highway 34, West Bengal","West Bengal",NFR
45,ADH,"Mumbai Andheri","Mumbai, Maharashtra",Maharashtra,WR
46,ADHL,Adihalli,"National Highway 206, Karnataka",Karnataka,SWR
47,ADI,"Ahmedabad Junction","Ahmedabad, Gujarat",Gujarat,WR
48,ADL,Andul,"Howrah, West Bengal","West Bengal",SER
49,ADR,"Mandi Adampur","Hisar, Haryana",Haryana,NWR
50,ADRA,"Adra Junction","Purulia.Div HQ SER, West Bengal","West Bengal",SER
51,ADST,"Adi Saptagram","Howrah, West Bengal","West Bengal",ER
52,ADT,Aduturai,"Aduthurai, Tamil Nadu","Tamil Nadu",SR
53,ADTL,Adhartal,"Jabalpur, Madhya Pradesh","Madhya Pradesh",WCR
54,ADTP,Adityapur,"Jamshedpur, Jharkhand",Jharkhand,SER
55,ADVI,Adavali,"Ratnagiri, Maharashtra",Maharashtra,KR
56,AE,Amreli,"Amreli, Gujarat",Gujarat,WR
57,AED,Aulenda,"Kiraoli, Uttar Pradesh","Uttar Pradesh",NCR
58,AEH,"Anant Paith","Gwalior, Madhya Pradesh","Madhya Pradesh",NCR
59,AEJ,Arnej,"Arnej, Gujarat",Gujarat,WR
60,AEK,"Anekal Road","Karnataka, Karnataka",Karnataka,SWR
61,AEL,Ateli,"Dist. Mahendragarh, Haryana",Haryana,NWR
62,AEP,"Amreli Para","Amreli, Gujarat",Gujarat,WR
63,AF,"Agra Fort","Agra (North Central Railways), Uttar Pradesh","Uttar Pradesh",NCR
64,AFK,Angamaly,"Phone: 0484-2452340, Kerala",Kerala,SR
65,AFR,Asafpur,"Bijnor, Uttar Pradesh","Uttar Pradesh",NR
66,AG,Aranghata,"Haranath Para Ln, West Bengal","West Bengal",ER
67,AGA,"Agra City","1072, Uttar Pradesh","Uttar Pradesh",NCR
68,AGAE,Agradwip,"Agradwip, West Bengal","West Bengal",ER
69,AGB,Ambagaon,"Ambagaon, Chhattisgarh",Chhattisgarh,ECoR
70,AGC,"Agra Cantt.","Agra, Uttar Pradesh","Uttar Pradesh",NCR
71,AGCI,Angadi,"National Highway 59, Gujarat",Gujarat,WR
72,AGD,Agasod,"Bina, Madhya Pradesh","Madhya Pradesh",NCR
73,AGDL,"Agran Dhulgaon","Jath Rd, Maharashtra",Maharashtra,CR
74,AGE,Angai,"Angai, Rajasthan",Rajasthan,NCR
75,AGI,Amguri,"Amguri, Assam",Assam,NFR
76,AGL,Amargol,"Hubli, Karnataka",Karnataka,SWR
77,AGN,Amgaon,"Gondia, Maharashtra",Maharashtra,SECR
78,AGP,Agarpara,"Kolkata, West Bengal","West Bengal",ER
79,AGQ,"Asirgarh Road","State Highway 27, Madhya Pradesh","Madhya Pradesh",CR
80,AGR,Amargarh,"SH 39A, Madhya Pradesh","Madhya Pradesh",WR
81,AGT,Agthori,"Guwahati, Assam",Assam,NFR
82,AGTL,Agartala,"Agartala, Tripura",Tripura,NFR
83,AGV,Angua,"West Medinipore, West Bengal","West Bengal",SER
84,AGY,"Agori Khas","State Highway 5, Uttar Pradesh","Uttar Pradesh",NCR
85,AGZ,Amagura,"Markel, Chhattisgarh",Chhattisgarh,ECoR
86,AH,"Achhnera Junction","Agra District, Uttar Pradesh","Uttar Pradesh",NCR
87,AHA,Abhaipur,"Dharhara, Bihar",Bihar,ER
88,AHD,Aherwadi,"Sholapur, Karnataka",Karnataka,SWR
89,AHH,Ahmadgarh,"Ahmedgarh, Punjab",Punjab,NR
90,AHI,Ashti,"State Highway 161, Maharashtra",Maharashtra,CR
91,AHJU,Ahju,"National Highway 20, Himachal Pradesh","Himachal Pradesh",NR
92,AHL,Ajharail,"National Highway 34, West Bengal","West Bengal",NFR
93,AHLR,Ahalyapur,"Deoria, Uttar Pradesh","Uttar Pradesh",NER
94,AHM,Ahimanpur,"St Ravidas Nagar, Uttar Pradesh","Uttar Pradesh",NER
95,AHN,Ahiran,"National Highway 34, West Bengal","West Bengal",ER
96,AHO,Adarshnagar,"Ajmer, Rajasthan",Rajasthan,NWR
97,AHQ,"Ahera Halt","Tatiri, Uttar Pradesh","Uttar Pradesh",NR
98,AHU,Ahirauli,"State Highway 1A, Uttar Pradesh","Uttar Pradesh",NER
99,AHZ,Adhinpur,"National Highway 56, Uttar Pradesh","Uttar Pradesh",NR
100,AI,Adipur,"Dist. Kachchh, Gujarat",Gujarat,WR
101,AIA,Ajaraka,"Ajaraka, Rajasthan",Rajasthan,NWR
102,AIG,Algawan,"Aigwan Ralway Station Rd, Uttar Pradesh","Uttar Pradesh",NR
103,AIH,"Alawalpur I Pur","Alawalpur, Uttar Pradesh","Uttar Pradesh",NR
104,AII,"Ajmer Junction","Ajmer, Rajasthan",Rajasthan,NWR
105,AILM,Ailam,"State Highway 57, Uttar Pradesh","Uttar Pradesh",NR
106,AIP,Attippattu,"Minjur, Tamil Nadu","Tamil Nadu",SR
107,AIPP,"Attipattu Pudu Nagar","Minjur, Tamil Nadu","Tamil Nadu",SR
108,AIR,"Alindra Road","Alindra, Gujarat",Gujarat,WR
109,AIT,Ait,"Orai(05162-252206), Uttar Pradesh","Uttar Pradesh",NCR
110,AJ,Ajgain,"Ajgain, Uttar Pradesh","Uttar Pradesh",NR
111,AJE,Anjar,"Anjar, Gujarat",Gujarat,WR
112,AJH,Ajhai,"Ajhai, Uttar Pradesh","Uttar Pradesh",NCR
113,AJI,"Anjhi Shahabad","Anjhi Shahabad, Uttar Pradesh","Uttar Pradesh",NR
114,AJIT,Ajit,"State Highway 68, Rajasthan",Rajasthan,NWR
115,AJJ,"Arakkonam Junction","Arakkonam, Tamil Nadu","Tamil Nadu",SR
116,AJKI,Ajitkheri,"Devas, Madhya Pradesh","Madhya Pradesh",WR
117,AJL,Ajitwal,"Ajitwal, Punjab",Punjab,NR
118,AJM,"Adraj Moti","Adraj Moti, Gujarat",Gujarat,WR
119,AJN,Ajnod,"Indore, Madhya Pradesh","Madhya Pradesh",WR
120,AJNI,Ajni,"Nagpur, Maharashtra",Maharashtra,CR
121,AJP,Ajjampur,"Ajjampur, Karnataka",Karnataka,SWR
122,AJR,Ajaibpur,"Greater Noida, Uttar Pradesh","Uttar Pradesh",NCR
123,AJRE,Aujari,"National Highway 37, Assam",Assam,NFR
124,AJTM,"Ajitgill Matta","Kotkapura Jaitu Rd, Punjab",Punjab,NR
125,AJU,Arjuni,"Gondia, Maharashtra",Maharashtra,SECR
126,AK,"Akola Junction","Akola, Maharashtra",Maharashtra,CR
127,AKAT,Akkampet,"Kadalur, Andhra Pradesh","Andhra Pradesh",SR
128,AKD,Akodia,"Dist. Shajapur, Madhya Pradesh","Madhya Pradesh",WR
129,AKE,Akanapet,"Medak, Andhra Pradesh","Andhra Pradesh",SCR
130,AKI,Adarki,"Pune, Maharashtra",Maharashtra,CR
131,AKJ,AkbarGanj,"SH 31, Uttar Pradesh","Uttar Pradesh",NR
132,AKK,Akkihebbalu,"Mandya District, Karnataka",Karnataka,SWR
133,AKL,Anakhol,"State HIghway 133, Gujarat",Gujarat,WR
134,AKM,Arambakkam,"Arambakkam, Tamil Nadu","Tamil Nadu",SR
135,AKN,Akbarnagar,"Tilakpur, Bihar",Bihar,ER
136,AKNR,"Adhyatmik Nagar","Adhyatmik, Uttar Pradesh","Uttar Pradesh",NR
137,AKOR,"Akalkot Road","Dist Solapur, Maharashtra",Maharashtra,CR
138,AKOT,Akot,"Akola, Maharashtra",Maharashtra,SCR
139,AKP,Anakapalle,"Visakhapatnam District, Andhra Pradesh","Andhra Pradesh",SCR
140,AKR,Akolner,"Ahmadnagar, Maharashtra",Maharashtra,CR
141,AKRA,Akra,"Kolkata, West Bengal","West Bengal",ER
142,AKRD,Akurdi,"Pimpri Chinchwad, Maharashtra",Maharashtra,CR
143,AKS,Ankuspur,"National Highway 29, Uttar Pradesh","Uttar Pradesh",NER
144,AKT,Akaltara,"Janjgir-Champa District, Chhattisgarh",Chhattisgarh,SECR
145,AKU,Angalakuduru,"Coastal Andhra Region, Andhra Pradesh","Andhra Pradesh",SCR
146,AKV,"Ankleshwar Junction","Ankleshwar, Gujarat",Gujarat,WR
147,AKVD,Akividu,"Coast Andhra, Andhra Pradesh","Andhra Pradesh",SCR
148,AKW,Akora,"National Highway 86, Uttar Pradesh","Uttar Pradesh",NCR
149,AKY,Akkurti,"Srikalahasti, Andhra Pradesh","Andhra Pradesh",SCR
150,AKZ,Akashi,"Ranchi, Jharkhand",Jharkhand,SER
151,AL,Attili,"West Godavari, Andhra Pradesh","Andhra Pradesh",SCR
152,ALAI,Alai,"National Highway 74, Uttarakhand",Uttarakhand,NWR
153,ALB,"Alia Bada","Jamnagar, Gujarat",Gujarat,WR
154,ALD,"Allahabad Junction","Allahabad, Uttar Pradesh","Uttar Pradesh",NCR
155,ALER,Aler,"Aleru, Andhra Pradesh","Andhra Pradesh",SCR
156,ALGP,Algapur,"Hailakandi, Assam",Assam,?
157,ALJ,Alai,"National Highway 74, Uttarakhand",Uttarakhand,NER
158,ALJN,"Aligarh Junction","Aligarh, Uttar Pradesh","Uttar Pradesh",NCR
159,ALK,Alakkudi,"Alakudi, Tamil Nadu","Tamil Nadu",SR
160,ALL,Alal,"Mullowal, Punjab",Punjab,NR
161,ALLP,Alappuzha,"Ph:0477-2253965, Kerala",Kerala,SR
162,ALM,Alamanda,"Alamanda Road, Andhra Pradesh","Andhra Pradesh",ECoR
163,ALMR,Alampur,"State Highway 31, Gujarat",Gujarat,WR
164,ALMW,Almaw,"Allahabad, Uttar Pradesh","Uttar Pradesh",NER
165,ALN,Alandi,"Ramdara Rd, Maharashtra",Maharashtra,CR
166,ALNI,Alniya,"NH 12, Rajasthan",Rajasthan,WCR
167,ALNP,"Akelahanspur Halt","Akelahanspur, Uttar Pradesh","Uttar Pradesh",NER
168,ALP,Alapakam,"NH 45A, Tamil Nadu","Tamil Nadu",SR
169,ALPR,"Alampur Road","Alampur Rd, Andhra Pradesh","Andhra Pradesh",SCR
170,ALS,"Amlori Sarsar","Siwan, Bihar",Bihar,NER
171,ALU,Ariyalur,"Perambalur, Tamil Nadu","Tamil Nadu",SR
172,ALUR,"Alur Halt","Hassan - Alur Rd, Karnataka",Karnataka,SWR
173,ALV,Anklav,"Anklav, Gujarat",Gujarat,WR
174,ALW,Alwal,"Secunderabad, Andhra Pradesh","Andhra Pradesh",SCR
175,ALY,"Allahabad City","Allahabad(0532-1072), Uttar Pradesh","Uttar Pradesh",NER
176,AMA,Atamanda,"State Highway 37, Uttar Pradesh","Uttar Pradesh",NER
177,AMB,Ambodala,"State Highway 6, Orissa",Orissa,ECoR
178,AMBR,"Ambika Rohina","Ambika Devi Rd, Maharashtra",Maharashtra,SCR
179,AMC,Amritapura,"State Highway 48, Karnataka",Karnataka,SWR
180,AMDI,"Amdi Halt","Amadi, Maharashtra",Maharashtra,SECR
181,AME,Amethi,"Sultanpur, Uttar Pradesh","Uttar Pradesh",NR
182,AMG,Alamnagar,"Lucknow, Uttar Pradesh","Uttar Pradesh",NR
183,AMH,Azamgarh,"Azamgarh, Uttar Pradesh","Uttar Pradesh",NER
184,AMI,Amravati,"Amravati, Maharashtra",Maharashtra,CR
185,AMIN,Amin,"Karnal, Haryana",Haryana,NR
186,AMJ,"Amin Gaon","Guwahati, Assam",Assam,NFR
187,AML,Amalsad,"Amalsad, Gujarat",Gujarat,WR
188,AMLA,"Amla Junction","Amla, Madhya Pradesh","Madhya Pradesh",CR
189,AMLI,Amli,"Sawai Madhopur, Rajasthan",Rajasthan,WCR
190,AMLO,Amlo,,,ECR
191,AMLP,Amalpur,"Vadodara, Gujarat",Gujarat,WR
192,AMLR,"Amala Nagar","Thrissur, Kerala",Kerala,SR
193,AMM,Atirampattinam,"Muthupet, Tamil Nadu","Tamil Nadu",SR
194,AMNR,Ammanur,"Mazavarayanallu Rd, Tamil Nadu","Tamil Nadu",SR
195,AMO,Amolwa,"Pashchim Champaran, Bihar",Bihar,ECR
196,AMOD,Amod,"Amod, Gujarat",Gujarat,WR
197,AMP,"Ahmadpur Junction","Dist. Birbhum, West Bengal","West Bengal",ER
198,AMPA,Ambalappuzha,"ph 0477-2272620, Kerala",Kerala,SR
199,AMPL,Ammapali,"Ammapali, Bihar",Bihar,ER
200,AMPR,"Amarpura Rathan","MDR 103, Rajasthan",Rajasthan,NWR
201,AMQ,Ammuguda,"Secunderabad, Andhra Pradesh","Andhra Pradesh",SCR
202,AMRO,Amroha,"Amroha, Uttar Pradesh","Uttar Pradesh",NR
203,AMS,Amausi,"Lucknow, Uttar Pradesh","Uttar Pradesh",NR
204,AMSA,Ammasandra,"Tumkur, Karnataka",Karnataka,SWR
205,AMT,Ammapet,"Ammapet, Tamil Nadu","Tamil Nadu",SR
206,AMVA,"Amaravila Halt","Thiruvananthapuram, Kerala",Kerala,SR
207,AMW,"Aman Vadi","Washim, Maharashtra",Maharashtra,SCR
208,AMX,Amlakhurd,"MSH 6, Madhya Pradesh","Madhya Pradesh",SCR
209,AMY,Akathumuri,"Akathumuri Rd, Kerala",Kerala,SR
210,AN,Amalner,"Amalner, Maharashtra",Maharashtra,WR
211,ANA,Aslana,"Damoh, Madhya Pradesh","Madhya Pradesh",WCR
212,ANAH,"Aunta Halt","National Highway 31, Bihar",Bihar,ECR
213,ANAS,Anas,"NH 59, Madhya Pradesh","Madhya Pradesh",WR
214,ANB,Ammanabrolu,"Ammanabrolu, Andhra Pradesh","Andhra Pradesh",SCR
215,ANC,Annechakanahali,"Annechakanahali, Karnataka",Karnataka,SWR
216,ANCR,Anchuri,"National Highway 60A, West Bengal","West Bengal",SER
217,AND,Andampaliam,"Maniyam St, Tamil Nadu","Tamil Nadu",SR
218,ANDI,"Adarsh Nagar","Shalimar Bagh, Delhi NCT","Delhi NCT",NR
219,ANDN,"Anand Nagar","Pharenda, Uttar Pradesh","Uttar Pradesh",NER
220,ANE,Anantarajupet,"Rayalaseema Region, Andhra Pradesh","Andhra Pradesh",SCR
221,ANF,Anandapuram,"Anandapuram, Karnataka",Karnataka,SWR
222,ANG,Ahmadnagar,"Daund-Ahmednagar Road Ahmednagar, Maharashtra",Maharashtra,CR
223,ANGL,Angul,"Angul District, Orissa",Orissa,ECoR
224,ANGR,"Angadgeri Halt","Angadgeri, Karnataka",Karnataka,SWR
225,ANH,"Ankorah Akorha","Aurangabad, Bihar",Bihar,ECR
226,ANI,Ajanti,"East Nimar, Madhya Pradesh","Madhya Pradesh",WR
227,ANJ,Anjangaon,"Anjangaon, Maharashtra",Maharashtra,CR
228,ANK,Ankai,"Ankai, Maharashtra",Maharashtra,CR
229,ANKI,Anakhi,"Bharuch, Gujarat",Gujarat,WR
230,ANKL,Ankola,"Uttara Kannada, Karnataka",Karnataka,KR
231,ANMD,"Arang Mahanadi","Arang, Chhattisgarh",Chhattisgarh,ECoR
232,ANND,"Anand Junction","Anand, Gujarat",Gujarat,WR
233,ANNR,Annanur,"Ambattur, Tamil Nadu","Tamil Nadu",SR
234,ANO,Anjani,"Anjani, Maharashtra",Maharashtra,KR
235,ANP,Anandatandavapuram,"Uluthakuppai, Tamil Nadu","Tamil Nadu",SR
236,ANPR,Anpara,"Sonebhadra, Uttar Pradesh","Uttar Pradesh",ECR
237,ANR,Anara,"Purulia, West Bengal","West Bengal",SER
238,ANSB,"Anandpur Sahib","Dist. Rupnagar, Punjab",Punjab,NR
239,ANT,Anantnag,"Anantnag, Jammu and Kashmir","Jammu and Kashmir",NR
240,ANTU,Antu,"Dist. Pratapgarh, Uttar Pradesh","Uttar Pradesh",NR
241,ANU,Anangur,"Nettavelampalayam, Tamil Nadu","Tamil Nadu",SR
242,ANV,Annavaram,"East Godavari District, Andhra Pradesh","Andhra Pradesh",SCR
243,ANVR,"Delhi Anand Vihar Terminus","Anand Vihar, Delhi NCT","Delhi NCT",NR
244,ANVT,"Delhi Anand Vihar Terminus","Ghazipur Road, Delhi NCT","Delhi NCT",NR
245,ANW,Anawal,"Anawal, Gujarat",Gujarat,WR
246,ANY,Arumuganeri,"Arumuganeri, Tamil Nadu","Tamil Nadu",SR
247,AO,Aonla,"Dist. Bareilly, Uttar Pradesh","Uttar Pradesh",NR
248,AON,Araon,"Araon, Uttar Pradesh","Uttar Pradesh",NCR
249,AONI,Amoni,"Amoni, Assam",Assam,NFR
250,AOR,Argora,"Ranchi, Jharkhand",Jharkhand,SER
251,AP,Ashokapuram,"Mysore, Karnataka",Karnataka,SWR
252,APA,Amarpura,"Kharwa, Rajasthan",Rajasthan,NWR
253,APB,Anuppambattu,"Railway Border Rd, Tamil Nadu","Tamil Nadu",SR
254,APD,"Alipur Duar","Alipurduar, West Bengal","West Bengal",NFR
255,APDC,"Alipur Duar Court","Alipur Duar, West Bengal","West Bengal",NFR
256,APDJ,"Alipur Duar Junction","03564-255091, West Bengal","West Bengal",NFR
257,APE,Andanappettai,"Pappakoil, Tamil Nadu","Tamil Nadu",SR
258,APG,Anupganj,"Amethi, Uttar Pradesh","Uttar Pradesh",NR
259,APH,Anupgarh,"Sri Ganganagar, Rajasthan",Rajasthan,NWR
260,APJ,"Amarpur Jorasi","Narnaul, Rajasthan",Rajasthan,NWR
261,APL,Appikatla,"GBC Rd, Andhra Pradesh","Andhra Pradesh",SCR
262,APN,Ayodhyapattanam,"Salem, Tamil Nadu","Tamil Nadu",SR
263,APR,"Anuppur Junction","Anuppur, Madhya Pradesh","Madhya Pradesh",SECR
264,APT,Anaparti,"East Godavari District, Andhra Pradesh","Andhra Pradesh",SCR
265,APTA,Apta,"Raigad, Maharashtra",Maharashtra,CR
266,APU,Anipur,"Anipur, Assam",Assam,NFR
267,AQG,"Ashapura Gomat","National Highway 15, Rajasthan",Rajasthan,NWR
268,ARA,Ara,"Arrah, Bihar",Bihar,ECR
269,ARAG,Arag,"Jath Rd, Maharashtra",Maharashtra,CR
270,ARCL,Arunachal,"Cachar, Assam",Assam,NFR
271,ARD,"Amarda Road","Amarda Road, Orissa",Orissa,SER
272,ARE,Arnetha,"Bundi, Rajasthan",Rajasthan,WCR
273,ARG,"Angar Ghat","Samastipur, Bihar",Bihar,ECR
274,ARGD,Arigada,,,ECR
275,ARGL,Argul,"Khordha, Orissa",Orissa,ECoR
276,ARGP,Aralaguppe,"State Highway 74, Karnataka",Karnataka,SWR
277,ARH,Amhera,"Amhera, Uttar Pradesh","Uttar Pradesh",NR
278,ARI,Antri,"Gwalior, Madhya Pradesh","Madhya Pradesh",NCR
279,ARJ,"Aunrihar Junction","Ghazipur, Uttar Pradesh","Uttar Pradesh",NER
280,ARK,Arakku,"Araku, Andhra Pradesh","Andhra Pradesh",ECoR
281,ARKA,Arkha,"Lucknow Allahabad Rd, Uttar Pradesh","Uttar Pradesh",NR
282,ARL,Aroul,"Araul, Uttar Pradesh","Uttar Pradesh",NER
283,ARN,Arand,"National Highway 217, Chhattisgarh",Chhattisgarh,ECoR
284,ARNA,Arnia,"Bandikui, Rajasthan",Rajasthan,NWR
285,ARNH,Arjunahalli,"Arjunahalli, Karnataka",Karnataka,SWR
286,AROR,"Aroor Halt","Aroor, Kerala",Kerala,SR
287,ARP,Atrampur,"Atrampur Railway Station, Uttar Pradesh","Uttar Pradesh",NR
288,ARPL,"Arepalli Halt","National Highway 7, Andhra Pradesh","Andhra Pradesh",SCR
289,ARQ,"Arariya Court","State Highway 76, Bihar",Bihar,NFR
290,ARR,Arariya,,,NFR
291,ARS,Arasur,"NH 45A, Tamil Nadu","Tamil Nadu",SR
292,ARU,Arasalu,"Arasalu, Karnataka",Karnataka,SWR
293,ARV,"Arni Road","Kalambur, Tamil Nadu","Tamil Nadu",SR
294,ARVI,Arvi,"Dist. Wardha, Maharashtra",Maharashtra,CR
295,ARW,"Ahraura Road","Dist. Mirzapur, Uttar Pradesh","Uttar Pradesh",NCR
296,ARX,Areli,"Areli, Uttar Pradesh","Uttar Pradesh",NER
297,AS,Arjansar,"Bikaner, Rajasthan",Rajasthan,NWR
298,ASAF,"Asifabad Road","Adilabad, Andhra Pradesh","Andhra Pradesh",SCR
299,ASAN,Asan,"Panipat, Haryana",Haryana,NR
300,ASB,Asanboni,"East Singhbhum, Jharkhand",Jharkhand,SER
301,ASCE,Athsarai,"National Highway 2, Uttar Pradesh","Uttar Pradesh",NCR
302,ASE,Asaudah,"Delhi-Rohtak Corridor, Haryana",Haryana,NR
303,ASH,Aishbagh,"Aishbagh, Uttar Pradesh","Uttar Pradesh",NER
304,ASI,Arseni,"MORADABAD, Uttar Pradesh","Uttar Pradesh",NR
305,ASJP,"Amar Shahid Jagdev Prasad Halt",,,?
306,ASK,"Arsikere Junction","Arasikere, Karnataka",Karnataka,SWR
307,ASKN,"Ashok Nagar","Ashoknagar, Madhya Pradesh","Madhya Pradesh",WCR
308,ASL,Aslaoda,"Ujjain, Madhya Pradesh","Madhya Pradesh",WR
309,ASLU,Aslu,"National Highway 65, Rajasthan",Rajasthan,NWR
310,ASM,Asarma,"SH 166, Gujarat",Gujarat,WR
311,ASN,"Asansol Junction","Asansol, West Bengal","West Bengal",ER
312,ASO,Asangaon,"Asangaon, Maharashtra",Maharashtra,CR
313,ASP,Aspari,"Chinnahoturu, Andhra Pradesh","Andhra Pradesh",SCR
314,ASR,"Amritsar Junction","GT Road-NH 1 Amritsar, Punjab",Punjab,NR
315,AST,Asaoti,"Asaoti, Haryana",Haryana,NR
316,ASV,"Asarva Junction","Ahmedabad, Gujarat",Gujarat,WR
317,AT,Asnoti,"Uttara Kannada, Karnataka",Karnataka,KR
318,ATA,Ata,"National Highway 25, Uttar Pradesh","Uttar Pradesh",NCR
319,ATB,Alattambadi,"Mazavarayanallu Rd, Tamil Nadu","Tamil Nadu",SR
320,ATC,"Arts College","Hyderabad, Andhra Pradesh","Andhra Pradesh",SCR
321,ATDA,Atladara,"Gujarat, Gujarat",Gujarat,WR
322,ATE,Atarra,"Dist. Banda(05192-224813), Uttar Pradesh","Uttar Pradesh",NCR
323,ATG,Atgaon,"Atgaon Railway Station, Maharashtra",Maharashtra,CR
324,ATH,Antah,"Antah, Rajasthan",Rajasthan,WCR
325,ATKS,"Atwa Kursath","Atwa Kursath, Uttar Pradesh","Uttar Pradesh",NR
326,ATL,"Athmal Gola","National Highway 31, Bihar",Bihar,ECR
327,ATM,Altagram,"National Highway 31, West Bengal","West Bengal",NFR
328,ATMO,Aithal,"Haridwar, Uttarakhand",Uttarakhand,NR
329,ATNR,Awatarnagar,"NH 19, Bihar",Bihar,ECR
330,ATP,Anantapur,"Anantapur, Andhra Pradesh","Andhra Pradesh",SCR
331,ATQ,Arantangi,"Aranthangi, Tamil Nadu","Tamil Nadu",SR
332,ATR,Attar,"East Nimar, Madhya Pradesh","Madhya Pradesh",WR
333,ATRR,Atraura,"Handia, Uttar Pradesh","Uttar Pradesh",NER
334,ATRU,Atru,"Atru, Rajasthan",Rajasthan,WCR
335,ATS,Attabira,"Bargarh, Orissa",Orissa,ECoR
336,ATT,Attari,"Atari, Punjab",Punjab,NR
337,ATU,Attur,"Gandhi Nagar, Tamil Nadu","Tamil Nadu",SR
338,ATUL,Atul,"Valsad, Gujarat",Gujarat,WR
339,ATW,"Atwa Muthia Halt","Atwa Muthia, Uttar Pradesh","Uttar Pradesh",NR
340,ATX,"Alinagar Tola","Purnea, Bihar",Bihar,ECR
341,AUB,"Aluabari Road","Islampur, West Bengal","West Bengal",NFR
342,AUBR,"Anugraha Narayan Road","06186-285271, Bihar",Bihar,ECR
343,AUI,Aurahi,"Purnia, Bihar",Bihar,ECR
344,AUL,Agsauli,"State Highway 33, Uttar Pradesh","Uttar Pradesh",NER
345,AUNG,Aung,"National Highway 2, Uttar Pradesh","Uttar Pradesh",NCR
346,AUR,"Atrauli Road","Dibai, Uttar Pradesh","Uttar Pradesh",NR
347,AUS,Anupshahr,"Anupshaher Rd, Rajasthan",Rajasthan,NWR
348,AUWA,Auwa,"Somesar, Rajasthan",Rajasthan,NWR
349,AV,Asvali,"National Highway 3, Maharashtra",Maharashtra,CR
350,AVD,Avadi,"Avadi, Tamil Nadu","Tamil Nadu",SR
351,AVK,Aravankadu,"Dist. Nilgiris, Tamil Nadu","Tamil Nadu",SR
352,AVL,Amritvel,"Amrutwel Rd, Gujarat",Gujarat,WR
353,AVLI,Aravalli,"West Godavari, Andhra Pradesh","Andhra Pradesh",SCR
354,AVN,Anavardikhanpet,"State Highway 126, Tamil Nadu","Tamil Nadu",SR
355,AVP,"Abhanpur Junction","Raipur, Chhattisgarh",Chhattisgarh,SECR
